alpha_id,strategy,gamma,base_spread,vol_mult,vol_window,order_notional,refresh_bars,target_pct,max_inv_mult,is_sharpe_mean,is_pnl_pct_mean,is_max_dd_worst,oos_sharpe_mean,oos_pnl_pct_mean,oos_max_dd_worst,n_sym_profit_oos,avg_fills,score
AV0155,avellaneda,1.8948180871328193,0.004590023945831803,9.05225563608561,480,300.0,3,0.6,10.502670445202545,3.187552498365935,0.9145661794552671,-1.1947962029104202,2.2539798232985606,0.3230990142135143,-0.7487810673674539,8,29.2,8.351477727089167
AV2237,avellaneda,0.7636043433619553,0.0005169319131560817,7.9474161952184925,120,75.0,5,0.6,2.0533993129628163,3.1090668263970067,0.5159241791502847,-0.5810838559923104,2.0605355097062774,0.1574142047977257,-0.3375248621598439,8,309.7,8.252302671941155
AV2964,avellaneda,7.676794083019388,0.0005132782987130715,15.938745871465986,60,200.0,3,0.6,4.769988364453278,2.8736387779905637,0.46759266234085767,-0.4977870614042149,2.208163462799909,0.16499965127704128,-0.3167399100942021,8,45.1,8.24996076915364
AV2055,avellaneda,0.8953907938361536,0.00202059713656223,9.158100542205672,480,200.0,3,0.5,5.996540454891991,2.4416192491345465,0.9312647702044089,-1.268865640150616,2.5130872703757854,0.25600923862394664,-0.7093853048397614,8,74.8,8.241292667208999
AV2563,avellaneda,59.37488266148214,0.004566127361530208,36.63369801509736,60,200.0,5,0.6,7.58576367214933,3.0087690199577777,0.47593208738969955,-0.44337960264765575,2.0744976724638997,0.16220308198013844,-0.34155073113255635,8,29.8,8.228637861286547
AV1478,avellaneda,0.5921836769826501,0.0005606321877384166,9.79418447690747,30,100.0,5,0.5,4.583161547972066,3.9476492105616985,0.8179818623548144,-0.5252261558968349,1.461753884142481,0.12603950223521862,-0.5432607155257938,8,195.5,8.219571528279896
AV3711,avellaneda,3.735488754936943,0.00038413566515969297,17.500015888690157,480,300.0,5,0.6,7.848532861066943,2.335711328347463,0.6418652929636972,-0.8725761951875938,2.506914069847079,0.30886356408776555,-0.7799742331259404,8,39.7,8.206735361074891
AV2811,avellaneda,1.0503373455610914,0.0009043826611948515,7.7432660341593404,120,150.0,2,0.5,2.372292207665698,2.280855224976389,0.47705361838013777,-0.7454853097220621,2.502411401620936,0.22084347377236918,-0.3784683751744888,8,145.3,8.20530107361366
AV0187,avellaneda,0.7502484753290454,0.004245068106160459,3.474208921894789,480,100.0,2,0.4,6.442856208330258,2.4546231302707175,0.42640868840369694,-0.5807893663678079,2.382301373086537,0.21955091163825452,-0.3856878280224009,8,135.6,8.202845360219873
AV0820,avellaneda,0.6722603162650049,0.0006045040559738095,6.271062990636233,480,50.0,1,0.4,7.95552997206739,2.856775504028141,0.4376453521949533,-0.48546025712283153,2.091027826786278,0.13823537802549796,-0.33400517907566607,8,229.9,8.189013692759769
AV2134,avellaneda,36.751445065050085,0.000641444667881085,30.138100692881974,120,300.0,3,0.4,5.045684444153727,2.8212105601558894,0.51208378742061,-0.4953599078090701,2.0048445172731695,0.16413061683849992,-0.37150416891949134,8,22.0,8.139383400031605
AV2822,avellaneda,1.6677719239268904,0.0017757326987691503,7.354405247659734,240,300.0,1,0.6,4.697403799299336,2.489000762697792,0.6276095659212568,-0.9892602345329216,2.1582662618893496,0.27196116115565744,-0.5402467011199225,8,69.3,8.1072621374848
AV2386,avellaneda,0.7533192433528351,0.0010720328234944039,10.907069841588957,480,150.0,3,0.6,2.0249874755663972,2.5045332806695666,0.6378933668822374,-0.8726346002013087,2.124345896531746,0.1846880970217553,-0.5331143509010144,8,65.8,8.090103824347835
