alpha_id,strategy,n_grid,grid_step,tp_steps,recenter_bars,recenter_threshold,leverage,target_pct,is_sharpe_mean,is_pnl_pct_mean,is_max_dd_worst,oos_sharpe_mean,oos_pnl_pct_mean,oos_max_dd_worst,n_sym_profit_oos,avg_fills,score
GR1863,grid,4,0.0031592173139766617,2,10,0.012270697918243301,2,0.5,0.8697107705507066,2.0535873359311028,-9.618244336895405,2.107285498766814,0.9559453738340199,-9.008316212710032,8,306.3,7.145168362754399
GR2728,grid,8,0.003758678844238775,1,480,0.06593172171167598,3,0.5,1.7037241051215972,8.140111920231698,-13.735206106309034,2.513557568771985,3.71358100509205,-6.570969822001007,7,974.5,7.1450464285711766
GR2869,grid,8,0.002883863291837802,1,60,0.017774582582176693,2,0.5,0.8046290115236227,2.0116391602755614,-7.369608131894129,1.4563996204291132,0.8600657828031144,-3.7057118524482395,8,1003.6,7.143231084127542
GR2235,grid,6,0.002763821970555212,1,60,0.01751377462780816,2,0.5,0.721534166166181,2.0957051302433705,-10.161988620990906,1.5657353627907082,0.9821072471575881,-4.293223932551537,8,1011.6,7.142016306925188
GR1729,grid,8,0.0060971948836360925,1,480,0.026689518291843607,2,0.5,2.5673447033386427,4.721076637061418,-5.358113088180489,1.9259429669776682,1.1148288078034256,-3.081937813265595,7,453.1,7.141147781969882
GR3466,grid,5,0.00560547739095136,1,480,0.06728527804997188,2,0.5,1.9717036692567738,7.52116456374173,-8.807962030196595,2.3236506104584933,2.746541335466931,-5.266030636289015,7,502.7,7.140915344143369
GR0101,grid,3,0.010753405870916454,2,240,0.06514430884220651,3,0.5,2.031887589054212,10.117551587642241,-14.98164732472489,2.790996180407001,2.5284728700811687,-8.819973018185246,7,80.9,7.1385940064147935
GR3486,grid,8,0.004306560138990394,1,60,0.037259418449695256,2,0.5,2.2231450583182704,3.847216618711516,-5.829703189558385,2.132248607105223,1.234210346093958,-3.134946919372778,7,640.0,7.137095403217982
GR3487,grid,6,0.004521900079826722,2,60,0.0599288263255845,1,0.5,2.652660756539358,3.0341335567397,-3.2891488651713185,1.8218050843487255,0.7348754220941591,-2.3146415324256306,7,336.0,7.135522056740729
GR1038,grid,4,0.006884401966669654,2,480,0.06570665629198535,3,0.5,1.968889129246809,10.610775003851419,-15.488429510429015,2.915627180628996,3.0345141842045495,-10.183580173840946,7,186.0,7.134445294362998
GR3741,grid,4,0.006560411733819995,1,480,0.061109275376163216,1,0.5,2.031390963864369,3.8481788847074,-4.789476266418169,2.274588595118068,1.2922408530510876,-3.3772387280145812,7,361.3,7.133727101525654
GR3338,grid,5,0.004503762578916538,1,30,0.04714334191226159,1,0.5,2.357332237094398,2.8287932433169187,-3.382936077779923,2.0957430388762703,0.500036614564584,-2.628536979118399,7,494.7,7.132574749040704
GR2289,grid,5,0.008508995886728439,1,120,0.02935853471475062,2,0.5,2.3193769191214244,4.2151457392004374,-6.695129195667141,2.20127485300411,1.0604275453356151,-3.980333380129996,7,203.2,7.132400960407327
GR3011,grid,8,0.006405242608222667,1,30,0.04137037952363326,3,0.5,2.2872480564672792,4.226465413901353,-5.167580734031181,2.104301335768278,0.9524710342834677,-2.974339750338004,7,270.1,7.130847315758307
GR2100,grid,8,0.006716891096185641,1,120,0.019374140690040342,1,0.5,2.199191036157481,1.1849864290043788,-1.4516639967028095,2.025519078892593,0.23328704807449863,-1.061882217401144,7,261.7,7.126190927150803
GR1945,grid,4,0.01064503693968289,1,60,0.04101482382662173,2,0.5,2.6194792978242187,4.656141046583933,-4.985222252862295,1.893390809903846,1.3041077559461247,-3.628433121661874,7,128.8,7.124492286979974
GR1349,grid,6,0.004442005771832673,2,480,0.01279976613167713,2,0.5,1.559958213854053,3.0703538840064883,-5.625855824254886,1.0083044436040853,0.34138067855291954,-3.776574998297947,8,238.0,7.122440418164412
GR1178,grid,2,0.009579624674502017,1,120,0.03257662342252953,1,0.5,2.327220741649614,4.369621053358527,-5.993039407187007,2.0466417507084462,0.9024718788337689,-2.82817808713653,7,142.8,7.121662075392195
GR0500,grid,5,0.010344367167069213,1,480,0.026063032863005237,3,0.5,2.3716776876238006,5.748747799766403,-6.6483876423099355,2.076311971753589,1.0496141118218714,-3.57889635618767,7,140.6,7.115079041150746
GR1988,grid,2,0.008366368000870244,1,240,0.016049649282700296,1,0.5,1.650317819868058,3.33747542172119,-7.057017118197819,2.4601831544321984,1.0755239853379572,-2.8937271856732516,7,156.0,7.114596053141549
GR2000,grid,8,0.0033049320464385505,1,240,0.058137239347435796,3,0.5,2.2882360317206305,10.316593098001478,-12.34564427798754,2.638536424584468,2.722638001170315,-9.63981256223551,7,1233.8,7.113234486938695
GR3720,grid,5,0.006987419534423691,1,120,0.019013008435026107,1,0.5,1.4554803818523667,1.428228696255101,-2.2052625347572574,2.571016191318099,0.35297139821199375,-1.8128524762549387,7,220.7,7.1130679639305185
GR3387,grid,8,0.011360860961253,2,480,0.07658240022797408,3,0.5,2.686233233431111,7.210621717213813,-6.990584065871699,2.1534715037540826,1.4109822335666142,-6.31195952633272,7,117.0,7.109093153824037
GR0701,grid,6,0.004586992891582695,2,60,0.013539503759773497,1,0.5,1.719135826654394,1.5936019409149957,-2.751252880894772,2.3313883550923,0.35682456765625464,-1.4291196841255622,7,226.9,7.107664292152821
GR1637,grid,8,0.004276094707453299,1,480,0.050170868447474336,2,0.5,2.0861437667190197,6.35056123827354,-9.45156806758754,2.2259162131747203,2.4280241530484656,-5.267871347149448,7,890.4,7.1056750773592405
GR2038,grid,8,0.011542009380233115,2,480,0.07595377499903795,3,0.5,2.733329023003521,7.271021386024262,-6.763429330051986,2.1197778523840674,1.3572827277158341,-6.289672610651123,7,114.9,7.105101002052087
GR1383,grid,6,0.00974909770208979,2,480,0.03831642313245148,2,0.5,2.20735224930184,4.937560380403184,-5.579229550894324,2.2000752694674923,1.327791887503825,-4.281415341441898,7,125.3,7.101577976564716
GR1977,grid,2,0.010456032635404938,1,30,0.07069879947211107,1,0.5,2.432916922040058,3.795347033401513,-4.606386314212177,1.871427654452583,0.7310043455089162,-2.206952568966026,7,104.5,7.098080714618432
GR2952,grid,5,0.005164311717575021,1,120,0.021522476037426266,1,0.5,2.2685768207692973,2.9143677348380135,-3.1858387423217027,1.9676851959663293,0.6012067106574104,-1.9594987968041095,7,479.3,7.096557993459984
GR0960,grid,6,0.003790842773934631,2,60,0.010493956827471925,3,0.5,1.5650271379139513,3.6446960578789445,-10.89900287230288,1.222506441086487,0.7082859234212393,-6.370392759233619,8,268.3,7.094075348182788
GR0322,grid,5,0.003084335740227672,2,480,0.040314644714272416,3,0.5,2.468595004515701,14.284344364709693,-13.345750457259056,2.4254793335644758,2.9475145739938142,-9.64598471971045,7,595.3,7.089086284195604
GR2098,grid,6,0.0024537694418341875,1,30,0.021498181849218742,3,0.5,0.6518230751889156,2.9411138056998207,-11.598773322201014,1.8031744727428702,1.6101436980793493,-7.482290092771454,8,1102.8,7.0868495255710275
GR2821,grid,6,0.0031273092578023424,1,240,0.07999407727179172,1,0.5,2.2163393442393278,3.8601661392646336,-4.741929942424049,1.974316528838362,0.9698435154279433,-2.433668673861939,7,1150.7,7.084911602051581
GR0942,grid,6,0.002604774491002877,2,240,0.030247025266892533,1,0.5,1.811288133026185,2.97001446403262,-4.516434163805971,2.420808798764726,0.958311163931452,-3.8130405806407546,7,726.7,7.0806328576280535
